Description,Price,Rating,ReviewCount
"(Renewed) Redmi K20 (Pearl White, 6GB RAM, 64GB Storage) - Extra 2,000 Off on Exchange &12 Month No Cost EMI","₹19,999",2.9 out of 5 stars,7,https://www.amazon.com/Renewed-Redmi-Pearl-White-Storage/dp/B08F5GC7XJ/ref=sr_1_2?dchild=1&keywords=redmi+k20&qid=1611857368&sr=8-2
"(Renewed) Redmi K20 (Carbon Black, 6GB RAM, 64GB Storage)","₹19,000",3.6 out of 5 stars,5,https://www.amazon.com/Renewed-Redmi-Carbon-Black-Storage/dp/B0818574XC/ref=sr_1_3?dchild=1&keywords=redmi+k20&qid=1611857368&sr=8-3
"Redmi K20 (Flame Red, 6GB RAM, 128GB Storage)","₹24,999",4.1 out of 5 stars,869,https://www.amazon.com/Redmi-K20-Flame-128GB-Storage/dp/B082FMMD3B/ref=sr_1_4?dchild=1&keywords=redmi+k20&qid=1611857368&sr=8-4
"Redmi K20 (Carbon Black, 6GB RAM, 128GB Storage)","₹24,999",4.1 out of 5 stars,869,https://www.amazon.com/Redmi-K20-Carbon-Black-Storage/dp/B082FNG2D1/ref=sr_1_5?dchild=1&keywords=redmi+k20&qid=1611857368&sr=8-5
"Redmi K20 (Pearl White, 6GB RAM, 128GB Storage)","₹24,999",4.1 out of 5 stars,869,https://www.amazon.com/Redmi-K20-Pearl-White-Storage/dp/B082FMS6GB/ref=sr_1_6?dchild=1&keywords=redmi+k20&qid=1611857368&sr=8-6
"Nokia 5.3 Android One Smartphone with Quad Camera, 6 GB RAM and 64 GB Storage - Charcoal","₹13,498",3.7 out of 5 stars,"2,712",https://www.amazon.com/Nokia-5-3-Android-Smartphone-64/dp/B08GT28WQQ/ref=sr_1_7?dchild=1&keywords=redmi+k20&qid=1611857368&sr=8-7
Redmi 9 Power (Mighty Black 4GB RAM 64GB Storage) - 6000mAh Battery | 48MP Quad Camera,"₹10,999",3.7 out of 5 stars,"1,430",https://www.amazon.com/Test-Exclusive_2020_1112-Multi-3GB-Storage/dp/B089MS7D8F/ref=sr_1_8?dchild=1&keywords=redmi+k20&qid=1611857368&sr=8-8
"LG Wing with Swivel Mode (Aurora Gray, 8GB RAM, 128GB Storage)","₹59,990",3.6 out of 5 stars,9,https://www.amazon.com/gp/slredirect/picassoRedirect.html/ref=pa_sp_mtf_aps_sr_pg1_1?ie=UTF8&adId=A00968731IALCM9YN45U9&url=%2FLG-Swivel-Aurora-128GB-Storage%2Fdp%2FB08P9C4KBS%2Fref%3Dsr_1_9_sspa%3Fdchild%3D1%26keywords%3Dredmi%2Bk20%26qid%3D1611857368%26sr%3D8-9-spons%26psc%3D1&qualifier=1611857368&id=8945047123057671&widgetName=sp_mtf
"Oppo A31 (Mystery Black, 6GB RAM, 128GB Storage) with No Cost EMI/Additional Exchange Offers","₹11,990",4.0 out of 5 stars,"2,522",https://www.amazon.com/Oppo-Mystery-Storage-Additional-Exchange/dp/B08444S68L/ref=sr_1_10?dchild=1&keywords=redmi+k20&qid=1611857368&sr=8-10
Nillkin Case for Xiaomi Redmi K20 K 20 / Xiaomi Redmi K20 Pro Sparkle Leather Flip Folio Book Type PC Gold Color,"₹1,199",5.0 out of 5 stars,1,https://www.amazon.com/Nillkin-Xiaomi-Redmi-Sparkle-Leather/dp/B07W973HHF/ref=sr_1_11?dchild=1&keywords=redmi+k20&qid=1611857368&sr=8-11
"Samsung Galaxy M51 (Electric Blue, 6GB RAM, 128GB Storage)","₹22,999",4.4 out of 5 stars,"27,785",https://www.amazon.com/Samsung-Galaxy-Electric-Blue-128GB-Storage/dp/B085J1J32G/ref=sr_1_12?dchild=1&keywords=redmi+k20&qid=1611857368&sr=8-12
"Samsung Galaxy A51 (Blue, 6GB RAM, 128GB Storage) with No Cost EMI/Additional Exchange Offers","₹20,999",4.1 out of 5 stars,"2,247",https://www.amazon.com/Samsung-Galaxy-Storage-Additional-Exchange/dp/B07X9YMW7S/ref=sr_1_13?dchild=1&keywords=redmi+k20&qid=1611857368&sr=8-13
"Oppo A31 (Fantasy White, 6GB RAM, 128GB Storage) with No Cost EMI/Additional Exchange Offers","₹11,990",4.0 out of 5 stars,"2,522",https://www.amazon.com/Oppo-Fantasy-Storage-Additional-Exchange/dp/B08444SXZ6/ref=sr_1_14?dchild=1&keywords=redmi+k20&qid=1611857368&sr=8-14
"Samsung Galaxy M51 (Celestial Black, 6GB RAM, 128GB Storage)","₹22,999",4.4 out of 5 stars,"27,785",https://www.amazon.com/Samsung-Galaxy-Celestial-Black-Storage/dp/B085J1X78K/ref=sr_1_15?dchild=1&keywords=redmi+k20&qid=1611857368&sr=8-15
Nillkin Case for Xiaomi Redmi K20 K 20 / Xiaomi Redmi K20 Pro Qin Genuine Classic Leather Flip Folio + Card Slot Black Color,₹899,,,https://www.amazon.com/Nillkin-Xiaomi-Genuine-Classic-Leather/dp/B07W97415W/ref=sr_1_16?dchild=1&keywords=redmi+k20&qid=1611857368&sr=8-16
"Samsung Galaxy M31s (Mirage Black, 6GB RAM, 128GB Storage)","₹19,499",4.3 out of 5 stars,"39,776",https://www.amazon.com/Samsung-Galaxy-Mirage-Black-Storage/dp/B07DJD1XZ4/ref=sr_1_17?dchild=1&keywords=redmi+k20&qid=1611857368&sr=8-17
"Redmi K20 (Glacier Blue, 6GB RAM, 128GB Storage)","₹24,999",4.1 out of 5 stars,869,https://www.amazon.com/Redmi-K20-Glacier-Storage-Exchange/dp/B082FNDQT7/ref=sr_1_1?dchild=1&keywords=redmi+k20&qid=1611857371&sr=8-1
"(Renewed) Redmi K20 (Pearl White, 6GB RAM, 64GB Storage) - Extra 2,000 Off on Exchange &12 Month No Cost EMI","₹19,999",2.9 out of 5 stars,7,https://www.amazon.com/Renewed-Redmi-Pearl-White-Storage/dp/B08F5GC7XJ/ref=sr_1_2?dchild=1&keywords=redmi+k20&qid=1611857371&sr=8-2
"(Renewed) Redmi K20 (Carbon Black, 6GB RAM, 64GB Storage)","₹19,000",3.6 out of 5 stars,5,https://www.amazon.com/Renewed-Redmi-Carbon-Black-Storage/dp/B0818574XC/ref=sr_1_3?dchild=1&keywords=redmi+k20&qid=1611857371&sr=8-3
"Redmi K20 (Flame Red, 6GB RAM, 128GB Storage)","₹24,999",4.1 out of 5 stars,869,https://www.amazon.com/Redmi-K20-Flame-128GB-Storage/dp/B082FMMD3B/ref=sr_1_4?dchild=1&keywords=redmi+k20&qid=1611857371&sr=8-4
"Redmi K20 (Carbon Black, 6GB RAM, 128GB Storage)","₹24,999",4.1 out of 5 stars,869,https://www.amazon.com/Redmi-K20-Carbon-Black-Storage/dp/B082FNG2D1/ref=sr_1_5?dchild=1&keywords=redmi+k20&qid=1611857371&sr=8-5
"Redmi K20 (Pearl White, 6GB RAM, 128GB Storage)","₹24,999",4.1 out of 5 stars,869,https://www.amazon.com/Redmi-K20-Pearl-White-Storage/dp/B082FMS6GB/ref=sr_1_6?dchild=1&keywords=redmi+k20&qid=1611857371&sr=8-6
"Nokia 5.3 Android One Smartphone with Quad Camera, 6 GB RAM and 64 GB Storage - Charcoal","₹13,498",3.7 out of 5 stars,"2,712",https://www.amazon.com/Nokia-5-3-Android-Smartphone-64/dp/B08GT28WQQ/ref=sr_1_7?dchild=1&keywords=redmi+k20&qid=1611857371&sr=8-7
Redmi 9 Power (Mighty Black 4GB RAM 64GB Storage) - 6000mAh Battery | 48MP Quad Camera,"₹10,999",3.7 out of 5 stars,"1,430",https://www.amazon.com/Test-Exclusive_2020_1112-Multi-3GB-Storage/dp/B089MS7D8F/ref=sr_1_8?dchild=1&keywords=redmi+k20&qid=1611857371&sr=8-8
"LG Wing with Swivel Mode (Aurora Gray, 8GB RAM, 128GB Storage)","₹59,990",3.6 out of 5 stars,9,https://www.amazon.com/gp/slredirect/picassoRedirect.html/ref=pa_sp_mtf_aps_sr_pg1_1?ie=UTF8&adId=A00968731IALCM9YN45U9&url=%2FLG-Swivel-Aurora-128GB-Storage%2Fdp%2FB08P9C4KBS%2Fref%3Dsr_1_9_sspa%3Fdchild%3D1%26keywords%3Dredmi%2Bk20%26qid%3D1611857371%26sr%3D8-9-spons%26psc%3D1&qualifier=1611857371&id=4577595059404338&widgetName=sp_mtf
"Oppo A31 (Mystery Black, 6GB RAM, 128GB Storage) with No Cost EMI/Additional Exchange Offers","₹11,990",4.0 out of 5 stars,"2,522",https://www.amazon.com/Oppo-Mystery-Storage-Additional-Exchange/dp/B08444S68L/ref=sr_1_10?dchild=1&keywords=redmi+k20&qid=1611857371&sr=8-10
Nillkin Case for Xiaomi Redmi K20 K 20 / Xiaomi Redmi K20 Pro Sparkle Leather Flip Folio Book Type PC Gold Color,"₹1,199",5.0 out of 5 stars,1,https://www.amazon.com/Nillkin-Xiaomi-Redmi-Sparkle-Leather/dp/B07W973HHF/ref=sr_1_11?dchild=1&keywords=redmi+k20&qid=1611857371&sr=8-11
"Samsung Galaxy M51 (Electric Blue, 6GB RAM, 128GB Storage)","₹22,999",4.4 out of 5 stars,"27,785",https://www.amazon.com/Samsung-Galaxy-Electric-Blue-128GB-Storage/dp/B085J1J32G/ref=sr_1_12?dchild=1&keywords=redmi+k20&qid=1611857371&sr=8-12
"Samsung Galaxy A51 (Blue, 6GB RAM, 128GB Storage) with No Cost EMI/Additional Exchange Offers","₹20,999",4.1 out of 5 stars,"2,247",https://www.amazon.com/Samsung-Galaxy-Storage-Additional-Exchange/dp/B07X9YMW7S/ref=sr_1_13?dchild=1&keywords=redmi+k20&qid=1611857371&sr=8-13
"Oppo A31 (Fantasy White, 6GB RAM, 128GB Storage) with No Cost EMI/Additional Exchange Offers","₹11,990",4.0 out of 5 stars,"2,522",https://www.amazon.com/Oppo-Fantasy-Storage-Additional-Exchange/dp/B08444SXZ6/ref=sr_1_14?dchild=1&keywords=redmi+k20&qid=1611857371&sr=8-14
"Samsung Galaxy M51 (Celestial Black, 6GB RAM, 128GB Storage)","₹22,999",4.4 out of 5 stars,"27,785",https://www.amazon.com/Samsung-Galaxy-Celestial-Black-Storage/dp/B085J1X78K/ref=sr_1_15?dchild=1&keywords=redmi+k20&qid=1611857371&sr=8-15
Nillkin Case for Xiaomi Redmi K20 K 20 / Xiaomi Redmi K20 Pro Qin Genuine Classic Leather Flip Folio + Card Slot Black Color,₹899,,,https://www.amazon.com/Nillkin-Xiaomi-Genuine-Classic-Leather/dp/B07W97415W/ref=sr_1_16?dchild=1&keywords=redmi+k20&qid=1611857371&sr=8-16
"Samsung Galaxy M31s (Mirage Black, 6GB RAM, 128GB Storage)","₹19,499",4.3 out of 5 stars,"39,776",https://www.amazon.com/Samsung-Galaxy-Mirage-Black-Storage/dp/B07DJD1XZ4/ref=sr_1_17?dchild=1&keywords=redmi+k20&qid=1611857371&sr=8-17
"Redmi K20 (Glacier Blue, 6GB RAM, 128GB Storage)","₹24,999",4.1 out of 5 stars,869,https://www.amazon.com/Redmi-K20-Glacier-Storage-Exchange/dp/B082FNDQT7/ref=sr_1_1?dchild=1&keywords=redmi+k20&qid=1611857375&sr=8-1
"(Renewed) Redmi K20 (Pearl White, 6GB RAM, 64GB Storage) - Extra 2,000 Off on Exchange &12 Month No Cost EMI","₹19,999",2.9 out of 5 stars,7,https://www.amazon.com/Renewed-Redmi-Pearl-White-Storage/dp/B08F5GC7XJ/ref=sr_1_2?dchild=1&keywords=redmi+k20&qid=1611857375&sr=8-2
"(Renewed) Redmi K20 (Carbon Black, 6GB RAM, 64GB Storage)","₹19,000",3.6 out of 5 stars,5,https://www.amazon.com/Renewed-Redmi-Carbon-Black-Storage/dp/B0818574XC/ref=sr_1_3?dchild=1&keywords=redmi+k20&qid=1611857375&sr=8-3
"Redmi K20 (Flame Red, 6GB RAM, 128GB Storage)","₹24,999",4.1 out of 5 stars,869,https://www.amazon.com/Redmi-K20-Flame-128GB-Storage/dp/B082FMMD3B/ref=sr_1_4?dchild=1&keywords=redmi+k20&qid=1611857375&sr=8-4
"Redmi K20 (Carbon Black, 6GB RAM, 128GB Storage)","₹24,999",4.1 out of 5 stars,869,https://www.amazon.com/Redmi-K20-Carbon-Black-Storage/dp/B082FNG2D1/ref=sr_1_5?dchild=1&keywords=redmi+k20&qid=1611857375&sr=8-5
"Redmi K20 (Pearl White, 6GB RAM, 128GB Storage)","₹24,999",4.1 out of 5 stars,869,https://www.amazon.com/Redmi-K20-Pearl-White-Storage/dp/B082FMS6GB/ref=sr_1_6?dchild=1&keywords=redmi+k20&qid=1611857375&sr=8-6
"Nokia 5.3 Android One Smartphone with Quad Camera, 6 GB RAM and 64 GB Storage - Charcoal","₹13,498",3.7 out of 5 stars,"2,712",https://www.amazon.com/Nokia-5-3-Android-Smartphone-64/dp/B08GT28WQQ/ref=sr_1_7?dchild=1&keywords=redmi+k20&qid=1611857375&sr=8-7
Redmi 9 Power (Mighty Black 4GB RAM 64GB Storage) - 6000mAh Battery | 48MP Quad Camera,"₹10,999",3.7 out of 5 stars,"1,430",https://www.amazon.com/Test-Exclusive_2020_1112-Multi-3GB-Storage/dp/B089MS7D8F/ref=sr_1_8?dchild=1&keywords=redmi+k20&qid=1611857375&sr=8-8
"LG Wing with Swivel Mode (Aurora Gray, 8GB RAM, 128GB Storage)","₹59,990",3.6 out of 5 stars,9,https://www.amazon.com/gp/slredirect/picassoRedirect.html/ref=pa_sp_mtf_aps_sr_pg1_1?ie=UTF8&adId=A00968731IALCM9YN45U9&url=%2FLG-Swivel-Aurora-128GB-Storage%2Fdp%2FB08P9C4KBS%2Fref%3Dsr_1_9_sspa%3Fdchild%3D1%26keywords%3Dredmi%2Bk20%26qid%3D1611857375%26sr%3D8-9-spons%26psc%3D1&qualifier=1611857375&id=1124725981292520&widgetName=sp_mtf
"Oppo A31 (Mystery Black, 6GB RAM, 128GB Storage) with No Cost EMI/Additional Exchange Offers","₹11,990",4.0 out of 5 stars,"2,522",https://www.amazon.com/Oppo-Mystery-Storage-Additional-Exchange/dp/B08444S68L/ref=sr_1_10?dchild=1&keywords=redmi+k20&qid=1611857375&sr=8-10
Nillkin Case for Xiaomi Redmi K20 K 20 / Xiaomi Redmi K20 Pro Sparkle Leather Flip Folio Book Type PC Gold Color,"₹1,199",5.0 out of 5 stars,1,https://www.amazon.com/Nillkin-Xiaomi-Redmi-Sparkle-Leather/dp/B07W973HHF/ref=sr_1_11?dchild=1&keywords=redmi+k20&qid=1611857375&sr=8-11
"Samsung Galaxy M51 (Electric Blue, 6GB RAM, 128GB Storage)","₹22,999",4.4 out of 5 stars,"27,785",https://www.amazon.com/Samsung-Galaxy-Electric-Blue-128GB-Storage/dp/B085J1J32G/ref=sr_1_12?dchild=1&keywords=redmi+k20&qid=1611857375&sr=8-12
"Samsung Galaxy A51 (Blue, 6GB RAM, 128GB Storage) with No Cost EMI/Additional Exchange Offers","₹20,999",4.1 out of 5 stars,"2,247",https://www.amazon.com/Samsung-Galaxy-Storage-Additional-Exchange/dp/B07X9YMW7S/ref=sr_1_13?dchild=1&keywords=redmi+k20&qid=1611857375&sr=8-13
"Oppo A31 (Fantasy White, 6GB RAM, 128GB Storage) with No Cost EMI/Additional Exchange Offers","₹11,990",4.0 out of 5 stars,"2,522",https://www.amazon.com/Oppo-Fantasy-Storage-Additional-Exchange/dp/B08444SXZ6/ref=sr_1_14?dchild=1&keywords=redmi+k20&qid=1611857375&sr=8-14
"Samsung Galaxy M51 (Celestial Black, 6GB RAM, 128GB Storage)","₹22,999",4.4 out of 5 stars,"27,785",https://www.amazon.com/Samsung-Galaxy-Celestial-Black-Storage/dp/B085J1X78K/ref=sr_1_15?dchild=1&keywords=redmi+k20&qid=1611857375&sr=8-15
Nillkin Case for Xiaomi Redmi K20 K 20 / Xiaomi Redmi K20 Pro Qin Genuine Classic Leather Flip Folio + Card Slot Black Color,₹899,,,https://www.amazon.com/Nillkin-Xiaomi-Genuine-Classic-Leather/dp/B07W97415W/ref=sr_1_16?dchild=1&keywords=redmi+k20&qid=1611857375&sr=8-16
"Samsung Galaxy M31s (Mirage Black, 6GB RAM, 128GB Storage)","₹19,499",4.3 out of 5 stars,"39,776",https://www.amazon.com/Samsung-Galaxy-Mirage-Black-Storage/dp/B07DJD1XZ4/ref=sr_1_17?dchild=1&keywords=redmi+k20&qid=1611857375&sr=8-17
"Redmi K20 (Glacier Blue, 6GB RAM, 128GB Storage)","₹24,999",4.1 out of 5 stars,869,https://www.amazon.com/Redmi-K20-Glacier-Storage-Exchange/dp/B082FNDQT7/ref=sr_1_1?dchild=1&keywords=redmi+k20&qid=1611857378&sr=8-1
"(Renewed) Redmi K20 (Pearl White, 6GB RAM, 64GB Storage) - Extra 2,000 Off on Exchange &12 Month No Cost EMI","₹19,999",2.9 out of 5 stars,7,https://www.amazon.com/Renewed-Redmi-Pearl-White-Storage/dp/B08F5GC7XJ/ref=sr_1_2?dchild=1&keywords=redmi+k20&qid=1611857378&sr=8-2
"(Renewed) Redmi K20 (Carbon Black, 6GB RAM, 64GB Storage)","₹19,000",3.6 out of 5 stars,5,https://www.amazon.com/Renewed-Redmi-Carbon-Black-Storage/dp/B0818574XC/ref=sr_1_3?dchild=1&keywords=redmi+k20&qid=1611857378&sr=8-3
"Redmi K20 (Flame Red, 6GB RAM, 128GB Storage)","₹24,999",4.1 out of 5 stars,869,https://www.amazon.com/Redmi-K20-Flame-128GB-Storage/dp/B082FMMD3B/ref=sr_1_4?dchild=1&keywords=redmi+k20&qid=1611857378&sr=8-4
"Redmi K20 (Carbon Black, 6GB RAM, 128GB Storage)","₹24,999",4.1 out of 5 stars,869,https://www.amazon.com/Redmi-K20-Carbon-Black-Storage/dp/B082FNG2D1/ref=sr_1_5?dchild=1&keywords=redmi+k20&qid=1611857378&sr=8-5
"Redmi K20 (Pearl White, 6GB RAM, 128GB Storage)","₹24,999",4.1 out of 5 stars,869,https://www.amazon.com/Redmi-K20-Pearl-White-Storage/dp/B082FMS6GB/ref=sr_1_6?dchild=1&keywords=redmi+k20&qid=1611857378&sr=8-6
"Nokia 5.3 Android One Smartphone with Quad Camera, 6 GB RAM and 64 GB Storage - Charcoal","₹13,498",3.7 out of 5 stars,"2,712",https://www.amazon.com/Nokia-5-3-Android-Smartphone-64/dp/B08GT28WQQ/ref=sr_1_7?dchild=1&keywords=redmi+k20&qid=1611857378&sr=8-7
Redmi 9 Power (Mighty Black 4GB RAM 64GB Storage) - 6000mAh Battery | 48MP Quad Camera,"₹10,999",3.7 out of 5 stars,"1,430",https://www.amazon.com/Test-Exclusive_2020_1112-Multi-3GB-Storage/dp/B089MS7D8F/ref=sr_1_8?dchild=1&keywords=redmi+k20&qid=1611857378&sr=8-8
"LG Wing with Swivel Mode (Aurora Gray, 8GB RAM, 128GB Storage)","₹59,990",3.6 out of 5 stars,9,https://www.amazon.com/gp/slredirect/picassoRedirect.html/ref=pa_sp_mtf_aps_sr_pg1_1?ie=UTF8&adId=A00968731IALCM9YN45U9&url=%2FLG-Swivel-Aurora-128GB-Storage%2Fdp%2FB08P9C4KBS%2Fref%3Dsr_1_9_sspa%3Fdchild%3D1%26keywords%3Dredmi%2Bk20%26qid%3D1611857378%26sr%3D8-9-spons%26psc%3D1&qualifier=1611857378&id=6870642009039589&widgetName=sp_mtf
"Oppo A31 (Mystery Black, 6GB RAM, 128GB Storage) with No Cost EMI/Additional Exchange Offers","₹11,990",4.0 out of 5 stars,"2,522",https://www.amazon.com/Oppo-Mystery-Storage-Additional-Exchange/dp/B08444S68L/ref=sr_1_10?dchild=1&keywords=redmi+k20&qid=1611857378&sr=8-10
Nillkin Case for Xiaomi Redmi K20 K 20 / Xiaomi Redmi K20 Pro Sparkle Leather Flip Folio Book Type PC Gold Color,"₹1,199",5.0 out of 5 stars,1,https://www.amazon.com/Nillkin-Xiaomi-Redmi-Sparkle-Leather/dp/B07W973HHF/ref=sr_1_11?dchild=1&keywords=redmi+k20&qid=1611857378&sr=8-11
"Samsung Galaxy M51 (Electric Blue, 6GB RAM, 128GB Storage)","₹22,999",4.4 out of 5 stars,"27,785",https://www.amazon.com/Samsung-Galaxy-Electric-Blue-128GB-Storage/dp/B085J1J32G/ref=sr_1_12?dchild=1&keywords=redmi+k20&qid=1611857378&sr=8-12
"Samsung Galaxy A51 (Blue, 6GB RAM, 128GB Storage) with No Cost EMI/Additional Exchange Offers","₹20,999",4.1 out of 5 stars,"2,247",https://www.amazon.com/Samsung-Galaxy-Storage-Additional-Exchange/dp/B07X9YMW7S/ref=sr_1_13?dchild=1&keywords=redmi+k20&qid=1611857378&sr=8-13
"Oppo A31 (Fantasy White, 6GB RAM, 128GB Storage) with No Cost EMI/Additional Exchange Offers","₹11,990",4.0 out of 5 stars,"2,522",https://www.amazon.com/Oppo-Fantasy-Storage-Additional-Exchange/dp/B08444SXZ6/ref=sr_1_14?dchild=1&keywords=redmi+k20&qid=1611857378&sr=8-14
"Samsung Galaxy M51 (Celestial Black, 6GB RAM, 128GB Storage)","₹22,999",4.4 out of 5 stars,"27,785",https://www.amazon.com/Samsung-Galaxy-Celestial-Black-Storage/dp/B085J1X78K/ref=sr_1_15?dchild=1&keywords=redmi+k20&qid=1611857378&sr=8-15
Nillkin Case for Xiaomi Redmi K20 K 20 / Xiaomi Redmi K20 Pro Qin Genuine Classic Leather Flip Folio + Card Slot Black Color,₹899,,,https://www.amazon.com/Nillkin-Xiaomi-Genuine-Classic-Leather/dp/B07W97415W/ref=sr_1_16?dchild=1&keywords=redmi+k20&qid=1611857378&sr=8-16
"Samsung Galaxy M31s (Mirage Black, 6GB RAM, 128GB Storage)","₹19,499",4.3 out of 5 stars,"39,776",https://www.amazon.com/Samsung-Galaxy-Mirage-Black-Storage/dp/B07DJD1XZ4/ref=sr_1_17?dchild=1&keywords=redmi+k20&qid=1611857378&sr=8-17
"Redmi K20 (Glacier Blue, 6GB RAM, 128GB Storage)","₹24,999",4.1 out of 5 stars,869,https://www.amazon.com/Redmi-K20-Glacier-Storage-Exchange/dp/B082FNDQT7/ref=sr_1_1?dchild=1&keywords=redmi+k20&qid=1611857381&sr=8-1
"(Renewed) Redmi K20 (Pearl White, 6GB RAM, 64GB Storage) - Extra 2,000 Off on Exchange &12 Month No Cost EMI","₹19,999",2.9 out of 5 stars,7,https://www.amazon.com/Renewed-Redmi-Pearl-White-Storage/dp/B08F5GC7XJ/ref=sr_1_2?dchild=1&keywords=redmi+k20&qid=1611857381&sr=8-2
"(Renewed) Redmi K20 (Carbon Black, 6GB RAM, 64GB Storage)","₹19,000",3.6 out of 5 stars,5,https://www.amazon.com/Renewed-Redmi-Carbon-Black-Storage/dp/B0818574XC/ref=sr_1_3?dchild=1&keywords=redmi+k20&qid=1611857381&sr=8-3
"Redmi K20 (Flame Red, 6GB RAM, 128GB Storage)","₹24,999",4.1 out of 5 stars,869,https://www.amazon.com/Redmi-K20-Flame-128GB-Storage/dp/B082FMMD3B/ref=sr_1_4?dchild=1&keywords=redmi+k20&qid=1611857381&sr=8-4
"Redmi K20 (Carbon Black, 6GB RAM, 128GB Storage)","₹24,999",4.1 out of 5 stars,869,https://www.amazon.com/Redmi-K20-Carbon-Black-Storage/dp/B082FNG2D1/ref=sr_1_5?dchild=1&keywords=redmi+k20&qid=1611857381&sr=8-5
"Redmi K20 (Pearl White, 6GB RAM, 128GB Storage)","₹24,999",4.1 out of 5 stars,869,https://www.amazon.com/Redmi-K20-Pearl-White-Storage/dp/B082FMS6GB/ref=sr_1_6?dchild=1&keywords=redmi+k20&qid=1611857381&sr=8-6
"Nokia 5.3 Android One Smartphone with Quad Camera, 6 GB RAM and 64 GB Storage - Charcoal","₹13,498",3.7 out of 5 stars,"2,712",https://www.amazon.com/Nokia-5-3-Android-Smartphone-64/dp/B08GT28WQQ/ref=sr_1_7?dchild=1&keywords=redmi+k20&qid=1611857381&sr=8-7
Redmi 9 Power (Mighty Black 4GB RAM 64GB Storage) - 6000mAh Battery | 48MP Quad Camera,"₹10,999",3.7 out of 5 stars,"1,430",https://www.amazon.com/Test-Exclusive_2020_1112-Multi-3GB-Storage/dp/B089MS7D8F/ref=sr_1_8?dchild=1&keywords=redmi+k20&qid=1611857381&sr=8-8
"LG Wing with Swivel Mode (Aurora Gray, 8GB RAM, 128GB Storage)","₹59,990",3.6 out of 5 stars,9,https://www.amazon.com/gp/slredirect/picassoRedirect.html/ref=pa_sp_mtf_aps_sr_pg1_1?ie=UTF8&adId=A00968731IALCM9YN45U9&url=%2FLG-Swivel-Aurora-128GB-Storage%2Fdp%2FB08P9C4KBS%2Fref%3Dsr_1_9_sspa%3Fdchild%3D1%26keywords%3Dredmi%2Bk20%26qid%3D1611857381%26sr%3D8-9-spons%26psc%3D1&qualifier=1611857381&id=5236844246825843&widgetName=sp_mtf
"Oppo A31 (Mystery Black, 6GB RAM, 128GB Storage) with No Cost EMI/Additional Exchange Offers","₹11,990",4.0 out of 5 stars,"2,522",https://www.amazon.com/Oppo-Mystery-Storage-Additional-Exchange/dp/B08444S68L/ref=sr_1_10?dchild=1&keywords=redmi+k20&qid=1611857381&sr=8-10
Nillkin Case for Xiaomi Redmi K20 K 20 / Xiaomi Redmi K20 Pro Sparkle Leather Flip Folio Book Type PC Gold Color,"₹1,199",5.0 out of 5 stars,1,https://www.amazon.com/Nillkin-Xiaomi-Redmi-Sparkle-Leather/dp/B07W973HHF/ref=sr_1_11?dchild=1&keywords=redmi+k20&qid=1611857381&sr=8-11
"Samsung Galaxy M51 (Electric Blue, 6GB RAM, 128GB Storage)","₹22,999",4.4 out of 5 stars,"27,785",https://www.amazon.com/Samsung-Galaxy-Electric-Blue-128GB-Storage/dp/B085J1J32G/ref=sr_1_12?dchild=1&keywords=redmi+k20&qid=1611857381&sr=8-12
"Samsung Galaxy A51 (Blue, 6GB RAM, 128GB Storage) with No Cost EMI/Additional Exchange Offers","₹20,999",4.1 out of 5 stars,"2,247",https://www.amazon.com/Samsung-Galaxy-Storage-Additional-Exchange/dp/B07X9YMW7S/ref=sr_1_13?dchild=1&keywords=redmi+k20&qid=1611857381&sr=8-13
"Oppo A31 (Fantasy White, 6GB RAM, 128GB Storage) with No Cost EMI/Additional Exchange Offers","₹11,990",4.0 out of 5 stars,"2,522",https://www.amazon.com/Oppo-Fantasy-Storage-Additional-Exchange/dp/B08444SXZ6/ref=sr_1_14?dchild=1&keywords=redmi+k20&qid=1611857381&sr=8-14
"Samsung Galaxy M51 (Celestial Black, 6GB RAM, 128GB Storage)","₹22,999",4.4 out of 5 stars,"27,785",https://www.amazon.com/Samsung-Galaxy-Celestial-Black-Storage/dp/B085J1X78K/ref=sr_1_15?dchild=1&keywords=redmi+k20&qid=1611857381&sr=8-15
Nillkin Case for Xiaomi Redmi K20 K 20 / Xiaomi Redmi K20 Pro Qin Genuine Classic Leather Flip Folio + Card Slot Black Color,₹899,,,https://www.amazon.com/Nillkin-Xiaomi-Genuine-Classic-Leather/dp/B07W97415W/ref=sr_1_16?dchild=1&keywords=redmi+k20&qid=1611857381&sr=8-16
"Samsung Galaxy M31s (Mirage Black, 6GB RAM, 128GB Storage)","₹19,499",4.3 out of 5 stars,"39,776",https://www.amazon.com/Samsung-Galaxy-Mirage-Black-Storage/dp/B07DJD1XZ4/ref=sr_1_17?dchild=1&keywords=redmi+k20&qid=1611857381&sr=8-17
